imdb_title_id,title,log_us_sale,log_cn_sale,comedy,acti_only,adv_only,act.adv,martial_arts,china_filming_location,genre_animation,genre_family,suicide,lgbtq,drug,blacklist_brad_pitt,time_travel,occult,nudity,magic,mpaa_r,taiwan,tibet,vigilantism,blacklist_richard_gere,anti_communism,individualism
tt0118747,Blues Brothers 2000,16.83254139,-9.9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt3521126,The Disaster Artist,16.83215403,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0376108,Rebound,16.83094915,-9.9999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1058017,The Invention of Lying,16.83039313,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0397078,Just My Luck,16.82953094,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt4139124,Keanu,16.82782729,-9.9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0112688,Clockers,16.82749772,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0151137,The Messenger: The Story of Joan of Arc,16.82657698,-9.9999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0115683,Bio-Dome,16.82527545,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120483,The Man Who Knew Too Little,16.82391554,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0241025,Vanity Fair,16.82343522,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0120520,The Wings of the Dove,16.82215041,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt1741273,Secret in Their Eyes,16.82021025,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0417433,Annapolis,16.81799925,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0498353,Hostel: Part II,16.81783948,-9.9999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0116410,Ghosts of Mississippi,16.81746471,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2072233,Sleepless,16.81607363,-9.9999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0120373,Trial and Error,16.81555469,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0118966,Desperate Measures,16.8149337,-9.9999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0380623,The Perfect Man,16.81451351,-9.9999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6003368,Diary of a Wimpy Kid: The Long Haul,16.81390709,-9.9999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1235522,Broken City,16.81320997,-9.9999,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0270980,My Boss's Daughter,16.81273449,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0295289,A Guy Thing,16.81240171,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0120458,Virus,16.80960078,-9.9999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1506999,Haywire,16.80931743,-9.9999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0160401,In Too Deep,16.80785011,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1542344,127 Hours,16.80744137,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1633356,Shark Night 3D,16.8058672,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
